CHANGE_NO,PROJECT_NAME,PROJECT_MANAGER,CHANGE_TYPE,DESCRIPTION,DATE_IDENTIFIED,STATUS,PRIORITY,ASSIGNED_TO,RESOLUTION_EXPECTED,ACTION,AREA_OF_IMPACT,ESCALATION_REQUIRED,DATE_RESOLVED,SYSTEM_AFFECTED,ESTIMATED_DURATION_HOURS,TEAM_SIZE,COMPLEXITY_SCORE,REQUIRES_DOWNTIME,HAS_DEPENDENCIES,BUSINESS_IMPACT,TECHNICAL_RISK,CONFLICT_PROBABILITY,HAS_CONFLICT
CR-01245,مشروع آل سعود and Sons,أسماء الغامدي,Documentation,تحديث قاعدة البيانات الرئيسية لتحسين الأداء وزيادة السرعة,21/03/2025,Complete,Critical,خالد إبراهيم,3 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Performance,NO,24/03/2025,Search Engine,6,7,7.0,YES,NO,Medium,Low,0.136,0
CR-01246,مشروع آل خضير Group,خالد إبراهيم,Monitoring,إضافة ميزة التصدير إلى ملفات Excel و PDF,03/07/2025,In Progress,Low,عبدالعزيز الدوسري,19 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Compliance,NO,,File Storage System,35,5,5.4,NO,NO,Medium,Low,0.148,0
CR-01247,مشروع آل بن ظافر PLC,علي المالكي,Frontend,تحديث نظام المصادقة الثنائية لمزيد من الأمان,15/03/2025,Open,High,سارة محمد,4 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Security,NO,,Mobile Application,18,8,1.2,NO,NO,Medium,Medium,0.386,1
CR-01248,"مشروع Burns, Hanson and Garza",عمر حسان,Database,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,27/07/2025,Approved,High,إبراهيم العتيبي,7 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Quality,NO,06/08/2025,User Management System,10,7,4.4,YES,NO,Medium,Low,0.713,1
CR-01249,مشروع آل عواض-حجار,سارة محمد,Backend,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,27/03/2025,Approved,High,مريم خليل,3 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Security,YES,02/04/2025,Backup System,10,1,6.0,NO,NO,Medium,Medium,0.897,1
CR-01250,مشروع آل علي Ltd,أسماء الغامدي,Monitoring,إصلاح مشكلة في حفظ إعدادات المستخدم الشخصية,06/03/2025,In Progress,Critical,عبدالرحمن الحربي,1 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Performance,NO,,CDN Service,7,1,8.0,YES,YES,High,High,0.462,1
CR-01251,مشروع Mcdonald Ltd,فاطمة علي,Mobile,تحديث API لدعم الإصدار الجديد من التطبيق المحمول,05/08/2025,Approved,Medium,حسان الراشد,7 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Schedule,NO,12/08/2025,Mobile Application,8,9,9.2,YES,NO,Low,High,0.0,0
CR-01252,مشروع المهيدب-الدباغ,ليلى سعيد,Infrastructure,إضافة دعم اللغات المتعددة للموقع الإلكتروني,25/02/2025,Open,High,يوسف محمود,7 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Scope,NO,,Reporting System,7,9,6.8,YES,NO,Medium,Low,0.764,1
CR-01253,"مشروع Brown, Jensen and Rice",أسماء الغامدي,Infrastructure,إضافة نظام مراقبة الأداء في الوقت الفعلي,06/06/2025,Rejected,High,مريم خليل,3 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Quality,NO,,Notification Service,23,9,6.1,YES,YES,High,Medium,0.62,0
CR-01254,مشروع آل جعفر-آل علي,زينب القرشي,Monitoring,إضافة ميزة البحث الصوتي في التطبيق,14/08/2025,In Progress,High,خالد إبراهيم,5 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Security,NO,,File Storage System,11,4,1.9,NO,YES,Low,High,0.248,1
CR-01255,مشروع آل عواض PLC,علي المالكي,API,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,29/04/2025,Open,Medium,عائشة الزهراني,5 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Resources,YES,,Load Balancer,28,1,2.7,NO,YES,Medium,Medium,0.587,0
CR-01256,مشروع Lee Ltd,أحمد السعودي,Analytics,إضافة نظام مراقبة الأداء في الوقت الفعلي,23/04/2025,In Progress,Medium,عمر حسان,10 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Security,NO,,SMS Gateway,38,5,4.7,YES,NO,Low,High,0.305,1
CR-01257,"مشروع شربتلي, آل عايض and المهيدب",عائشة الزهراني,Infrastructure,تحسين أداء استعلامات قاعدة البيانات المعقدة,06/05/2025,Complete,High,خديجة المطيري,6 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Quality,NO,12/05/2025,Cache Server,18,5,4.0,NO,YES,Medium,High,0.632,0
CR-01258,"مشروع Garcia, Fowler and Howard",سارة محمد,Documentation,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,30/03/2025,Complete,Medium,ليلى سعيد,5 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Scope,NO,09/04/2025,Monitoring Dashboard,47,4,9.7,NO,NO,Medium,Low,0.0,0
CR-01259,"مشروع Ortega, Andrade and Jackson",ليلى سعيد,Backend,إصلاح مشكلة انقطاع الاتصال مع الخادم الرئيسي,25/05/2025,Complete,Medium,فاطمة علي,9 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Schedule,YES,08/06/2025,Cache Server,41,10,5.1,YES,YES,Medium,Low,0.565,1
CR-01260,"مشروع الخرافي, المشاولة and الجابر",يوسف محمود,Analytics,تحديث نظام المصادقة الثنائية لمزيد من الأمان,23/06/2025,Complete,High,يوسف محمود,6 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Security,NO,02/07/2025,Database Server,3,6,10.0,NO,YES,Medium,Medium,0.372,1
CR-01261,"مشروع حجار, الشايع and الجفالي",أسماء الغامدي,Configuration,إضافة ميزة البحث الصوتي في التطبيق,06/03/2025,Needs Review,Critical,إبراهيم العتيبي,3 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Performance,YES,,Payment Gateway,2,7,1.9,YES,NO,Medium,Medium,0.387,0
CR-01262,"مشروع Frey, Nguyen and Watson",نور عبدالله,Configuration,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,02/07/2025,Open,High,أحمد السعودي,7 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Schedule,NO,,Search Engine,18,6,8.0,NO,NO,Low,Medium,0.368,1
CR-01263,"مشروع Morris, Allen and Gardner",رقية الشمري,Mobile,تحسين سرعة تحميل الصفحات الرئيسية,24/03/2025,Approved,Low,رقية الشمري,29 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Resources,NO,22/04/2025,Web Server,69,10,2.1,NO,NO,High,Medium,0.173,0
CR-01264,"مشروع Howe, King and Nixon",خالد إبراهيم,Database,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,10/06/2025,Open,Low,عمر حسان,16 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Schedule,NO,,Monitoring Dashboard,52,2,8.8,YES,NO,Low,Medium,0.61,0
CR-01265,مشروع Smith-Johnson,رقية الشمري,Integration,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,06/08/2025,Approved,Medium,أحمد السعودي,6 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Quality,NO,16/08/2025,File Storage System,38,7,2.8,NO,YES,Medium,Medium,0.168,0
CR-01266,"مشروع Smith, Taylor and Zamora",حسان الراشد,Backend,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,05/04/2025,Open,High,محمد الأحمد,6 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Schedule,YES,,Monitoring Dashboard,18,2,3.3,NO,NO,Medium,Low,0.644,1
CR-01267,مشروع آل عواض-آل علي,سارة محمد,Analytics,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,05/03/2025,In Progress,Low,أحمد السعودي,14 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Scope,YES,,File Storage System,68,8,9.4,NO,NO,Medium,Medium,0.261,0
CR-01268,مشروع Ingram Ltd,زينب القرشي,Configuration,إضافة ميزة البحث الصوتي في التطبيق,13/06/2025,Needs Review,High,أحمد السعودي,6 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Scope,YES,,Payment Gateway,24,1,5.7,NO,YES,Low,High,0.129,0
CR-01269,"مشروع Dixon, Duncan and Duncan",علي المالكي,Security,إصلاح مشكلة انقطاع الاتصال مع الخادم الرئيسي,17/04/2025,Open,Critical,عبدالرحمن الحربي,2 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Performance,NO,,Analytics Platform,2,4,1.9,YES,NO,Medium,High,0.645,0
CR-01270,مشروع العجلان LLC,خديجة المطيري,Backend,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,09/04/2025,Rejected,High,زينب القرشي,4 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Schedule,NO,,Reporting System,13,8,6.6,NO,NO,Medium,High,0.616,1
CR-01271,مشروع آل محمد بن علي بن جماز LLC,حسان الراشد,Configuration,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,28/06/2025,Rejected,High,سارة محمد,7 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Scope,NO,,Search Engine,6,5,9.1,NO,YES,High,Medium,0.286,0
CR-01272,مشروع آل محمد بن علي بن جماز LLC,خديجة المطيري,Mobile,تحديث بروتوكولات الأمان للشبكة الداخلية,25/02/2025,Approved,Medium,إبراهيم العتيبي,8 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Security,NO,09/03/2025,Load Balancer,25,1,2.9,NO,NO,Low,Low,0.171,0
CR-01273,"مشروع الخرافي, بقشان and آل علي",أحمد السعودي,Security,إضافة ميزة التصدير إلى ملفات Excel و PDF,08/08/2025,In Progress,Medium,سارة محمد,6 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Performance,NO,,Monitoring Dashboard,7,10,6.2,NO,NO,Low,Low,0.0,0
CR-01274,"مشروع أبو داوود, العقيل and آل عايض",عبدالرحمن الحربي,Infrastructure,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,12/03/2025,On Hold,Medium,عبدالعزيز الدوسري,14 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Security,NO,,File Storage System,15,10,7.4,YES,NO,Medium,Low,0.58,0
CR-01275,"مشروع Warner, Weiss and Davis",مريم خليل,Monitoring,إصلاح مشكلة في حفظ إعدادات المستخدم الشخصية,02/08/2025,In Progress,Medium,أسماء الغامدي,14 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Compliance,NO,,Backup System,40,2,9.0,YES,NO,Low,High,0.342,0
CR-01276,مشروع Cross PLC,ليلى سعيد,Frontend,إصلاح مشكلة انقطاع الاتصال مع الخادم الرئيسي,10/05/2025,In Progress,Medium,محمد الأحمد,10 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Schedule,YES,,Search Engine,41,5,1.2,YES,NO,Medium,High,0.215,0
CR-01277,مشروع Deleon LLC,ليلى سعيد,Infrastructure,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,02/07/2025,Complete,High,خالد إبراهيم,6 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Security,NO,10/07/2025,Audit System,8,10,6.0,NO,YES,Low,Medium,0.667,1
CR-01278,مشروع Butler-Parrish,علي المالكي,Configuration,تحسين سرعة تحميل الصفحات الرئيسية,10/03/2025,In Progress,High,فاطمة علي,7 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Security,NO,,Monitoring Dashboard,2,1,6.8,NO,NO,Medium,Low,0.397,0
CR-01279,"مشروع فصيل, حجار and آل الشيخ",إبراهيم العتيبي,Analytics,إضافة ميزة التصدير إلى ملفات Excel و PDF,09/04/2025,Needs Review,Medium,ليلى سعيد,9 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Performance,NO,,API Gateway,39,4,9.1,NO,YES,Low,High,0.383,0
CR-01280,مشروع Torres Inc,زينب القرشي,Frontend,إضافة نظام مراقبة الأداء في الوقت الفعلي,07/07/2025,Open,Medium,فاطمة علي,5 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Security,NO,,Search Engine,22,6,1.3,NO,NO,Medium,Low,0.148,0
CR-01281,"مشروع Cunningham, Murphy and Wolfe",حسان الراشد,Configuration,إضافة ميزة التصفية المتقدمة في نظام البحث العام,02/04/2025,In Progress,High,خديجة المطيري,4 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Security,NO,,Audit System,19,6,4.7,YES,NO,Medium,Medium,0.303,0
CR-01282,مشروع مهنا Ltd,خالد إبراهيم,Backend,إضافة ميزة البحث الصوتي في التطبيق,14/03/2025,In Progress,Medium,يوسف محمود,13 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Performance,YES,,User Management System,34,10,4.0,YES,NO,Medium,High,0.743,1
CR-01283,مشروع Mullins-Johnston,مريم خليل,Infrastructure,إضافة دعم اللغات المتعددة للموقع الإلكتروني,26/03/2025,In Progress,Medium,حسان الراشد,9 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Budget,NO,,API Gateway,29,1,8.5,NO,NO,Medium,Low,0.662,1
CR-01284,مشروع الراشد LLC,أسماء الغامدي,Documentation,تحديث API لدعم الإصدار الجديد من التطبيق المحمول,07/04/2025,In Progress,Medium,علي المالكي,5 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Budget,NO,,Notification Service,4,2,8.5,YES,NO,Medium,Low,0.0,0
CR-01285,مشروع Anderson Inc,محمد الأحمد,Mobile,تحديث قاعدة البيانات الرئيسية لتحسين الأداء وزيادة السرعة,03/06/2025,In Progress,Low,سارة محمد,12 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Security,NO,,API Gateway,12,9,1.5,YES,YES,Medium,Medium,0.1,0
CR-01286,"مشروع Mcgee, Kelley and Baker",عبدالرحمن الحربي,Infrastructure,إضافة ميزة النسخ الاحتياطي التلقائي للبيانات المهمة,08/08/2025,Approved,Medium,نور عبدالله,9 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Scope,NO,18/08/2025,Authentication Service,44,10,9.5,YES,NO,Low,Medium,0.757,1
CR-01287,"مشروع Hamilton, Wolfe and Gill",أحمد السعودي,Configuration,تحديث نظام المصادقة الثنائية لمزيد من الأمان,07/08/2025,Open,Medium,عبدالرحمن الحربي,5 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Resources,NO,,Web Server,27,7,2.5,NO,YES,Medium,Medium,0.066,0
CR-01288,"مشروع Gonzalez, Foster and Duncan",أحمد السعودي,Frontend,إصلاح مشكلة في حفظ إعدادات المستخدم الشخصية,18/06/2025,Open,Medium,عمر حسان,11 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Compliance,NO,,Analytics Platform,46,8,9.3,YES,YES,Medium,High,0.139,1
CR-01289,مشروع آل جعفر LLC,أحمد السعودي,Frontend,تحديث API لدعم الإصدار الجديد من التطبيق المحمول,08/03/2025,Rejected,High,إبراهيم العتيبي,7 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Resources,YES,,Audit System,21,2,9.7,NO,YES,Low,Medium,0.22,0
CR-01290,مشروع Cohen-Johnston,محمد الأحمد,Backend,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,15/04/2025,In Progress,High,نور عبدالله,3 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Performance,NO,,Load Balancer,4,7,2.0,NO,YES,Low,Medium,0.881,0
CR-01291,"مشروع الدباغ, الراشد and الحجار",نور عبدالله,API,تحديث قاعدة البيانات الرئيسية لتحسين الأداء وزيادة السرعة,13/07/2025,Complete,High,علي المالكي,2 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Scope,NO,17/07/2025,Load Balancer,8,7,3.1,NO,NO,Low,High,0.803,1
CR-01292,مشروع Flores PLC,علي المالكي,Monitoring,تحديث خوارزمية التشفير للبيانات الحساسة والمعلومات المالية,05/07/2025,Complete,Low,يوسف محمود,14 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Compliance,NO,26/07/2025,Email Service,61,2,9.0,YES,YES,Low,Medium,0.064,0
CR-01293,مشروع آل صفوان-الجفالي,عبدالعزيز الدوسري,Infrastructure,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,13/07/2025,Approved,Medium,سارة محمد,9 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Security,NO,22/07/2025,File Storage System,41,5,5.6,NO,NO,Medium,Low,0.718,1
CR-01294,"مشروع Thomas, Williams and Meyers",فاطمة علي,Configuration,تحديث API لدعم الإصدار الجديد من التطبيق المحمول,20/03/2025,Approved,Medium,رقية الشمري,9 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Schedule,NO,01/04/2025,Reporting System,7,3,9.1,NO,NO,Low,High,0.0,0
CR-01295,"مشروع الحجار, آل سلطان and آل حسين",عمر حسان,Monitoring,تحديث نظام المصادقة الثنائية لمزيد من الأمان,01/07/2025,Open,High,عبدالعزيز الدوسري,3 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Quality,NO,,Cache Server,7,2,6.7,NO,NO,Medium,Medium,0.223,0
CR-01296,"مشروع آل بن لافي, آل قصير and حنبولي",رقية الشمري,Mobile,تحديث بروتوكولات الأمان للشبكة الداخلية,01/05/2025,Open,Medium,أسماء الغامدي,7 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Scope,NO,,Backup System,40,7,8.8,YES,YES,Low,Low,0.264,0
CR-01297,مشروع آل الشيخ-الجابر,محمد الأحمد,Mobile,إضافة ميزة النسخ الاحتياطي التلقائي للبيانات المهمة,24/04/2025,In Progress,Medium,أحمد السعودي,6 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Scope,NO,,Notification Service,36,10,7.8,NO,NO,Low,Low,0.153,0
CR-01298,مشروع الشايع-العقيل,فاطمة علي,Documentation,إصلاح مشكلة في عرض البيانات على الأجهزة المحمولة,01/03/2025,Open,High,رقية الشمري,6 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Budget,NO,,Audit System,22,7,8.7,NO,NO,Medium,High,0.229,0
CR-01299,مشروع آل علي-المهنا,أحمد السعودي,Backend,تحديث API لدعم الإصدار الجديد من التطبيق المحمول,01/07/2025,Needs Review,High,خديجة المطيري,6 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Schedule,NO,,Analytics Platform,6,3,2.6,NO,NO,High,Medium,0.858,1
CR-01300,مشروع المهنا PLC,عائشة الزهراني,Security,تحديث قاعدة البيانات الرئيسية لتحسين الأداء وزيادة السرعة,04/08/2025,In Progress,Medium,محمد الأحمد,7 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Compliance,NO,,Email Service,9,2,7.2,YES,YES,Low,Medium,0.198,0
CR-01301,"مشروع Webb, Blair and Thomas",محمد الأحمد,Integration,تحديث خادم قاعدة البيانات إلى الإصدار الأحدث,07/06/2025,Complete,Medium,علي المالكي,6 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Budget,NO,15/06/2025,Web Server,37,9,6.3,NO,YES,Medium,High,0.0,0
CR-01302,مشروع بن لادن-كانو,أحمد السعودي,Infrastructure,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,17/08/2025,Open,Low,خالد إبراهيم,23 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Performance,NO,,Notification Service,71,1,9.6,NO,NO,Medium,Medium,0.587,1
CR-01303,مشروع آل صفوان-آل بن لافي,حسان الراشد,Analytics,إضافة دعم اللغات المتعددة للموقع الإلكتروني,20/08/2025,In Progress,High,مريم خليل,7 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Quality,NO,,Notification Service,19,5,8.9,NO,NO,Low,Low,0.33,0
CR-01304,مشروع Mccormick PLC,عبدالرحمن الحربي,Analytics,تحسين سرعة تحميل الصفحات الرئيسية,21/05/2025,Complete,Medium,خديجة المطيري,13 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Compliance,NO,04/06/2025,Monitoring Dashboard,39,1,7.3,NO,NO,Medium,Medium,0.094,0
CR-01305,مشروع Marshall Inc,علي المالكي,API,تحديث نظام المصادقة الثنائية لمزيد من الأمان,16/06/2025,Needs Review,Medium,يوسف محمود,7 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Quality,NO,,SMS Gateway,19,1,9.4,NO,NO,Medium,Low,0.569,1
CR-01306,مشروع كانو-آل معيض,عبدالرحمن الحربي,Infrastructure,تحديث نظام المصادقة الثنائية لمزيد من الأمان,19/06/2025,Complete,Medium,أسماء الغامدي,6 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Compliance,NO,26/06/2025,Analytics Platform,43,7,5.9,NO,NO,Medium,High,0.516,0
CR-01307,مشروع Smith Ltd,خالد إبراهيم,Integration,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,02/08/2025,In Progress,Low,إبراهيم العتيبي,26 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Scope,NO,,Backup System,65,8,9.9,NO,YES,Medium,Medium,0.316,1
CR-01308,مشروع Whitney PLC,نور عبدالله,Monitoring,إضافة نظام مراقبة الأداء في الوقت الفعلي,05/03/2025,In Progress,Medium,ليلى سعيد,10 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Budget,NO,,Search Engine,47,5,8.9,YES,NO,High,High,0.257,0
CR-01309,مشروع العليان-حجار,أحمد السعودي,Security,إضافة نظام مراقبة الأداء في الوقت الفعلي,12/08/2025,In Progress,Low,فاطمة علي,22 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Resources,NO,,Analytics Platform,44,9,2.6,NO,NO,Medium,Low,0.306,0
CR-01310,مشروع آل عطفة PLC,عبدالعزيز الدوسري,Security,تحديث API لدعم الإصدار الجديد من التطبيق المحمول,22/05/2025,Needs Review,High,يوسف محمود,4 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Performance,NO,,Reporting System,7,10,3.6,NO,YES,Medium,Medium,0.48,1
CR-01311,"مشروع House, Smith and Wright",علي المالكي,Backend,تحسين أداء استعلامات قاعدة البيانات المعقدة,06/08/2025,On Hold,High,يوسف محمود,7 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Schedule,YES,,Web Server,19,6,4.6,YES,YES,High,High,0.822,0
CR-01312,مشروع Burns-Garner,رقية الشمري,API,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,01/05/2025,In Progress,Medium,محمد الأحمد,7 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Quality,YES,,Email Service,38,10,2.5,NO,NO,High,Medium,0.728,1
CR-01313,مشروع مهنا-الجفالي,إبراهيم العتيبي,Backend,تحديث خوارزمية التشفير للبيانات الحساسة والمعلومات المالية,24/07/2025,Complete,Medium,خديجة المطيري,10 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Security,NO,08/08/2025,Notification Service,37,6,4.3,YES,NO,Low,Low,0.331,0
CR-01314,"مشروع Turner, Ferrell and Irwin",أحمد السعودي,Documentation,إضافة ميزة التصدير إلى ملفات Excel و PDF,08/08/2025,Needs Review,Critical,محمد الأحمد,2 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Resources,NO,,Cache Server,7,5,3.0,NO,YES,Low,Low,0.585,1
CR-01315,مشروع Garrett Group,عمر حسان,Infrastructure,تحديث خوارزمية التشفير للبيانات الحساسة والمعلومات المالية,14/04/2025,In Progress,Medium,رقية الشمري,6 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Compliance,NO,,Monitoring Dashboard,47,3,1.4,NO,NO,Medium,Low,0.768,0
CR-01316,"مشروع آل معيض, آل عواض and آل سلطان",عائشة الزهراني,Analytics,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,07/07/2025,In Progress,Critical,علي المالكي,3 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Schedule,NO,,Email Service,4,6,3.6,NO,NO,Low,Low,0.281,1
CR-01317,مشروع Sandoval-Miller,أسماء الغامدي,Security,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,23/03/2025,Open,Critical,زينب القرشي,1 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Schedule,YES,,Email Service,2,4,8.2,NO,NO,Low,Low,0.465,1
CR-01318,"مشروع Yu, Salazar and Garrett",فاطمة علي,Security,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,18/06/2025,Approved,High,عمر حسان,2 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Performance,NO,24/06/2025,Payment Gateway,21,3,5.1,NO,YES,Low,Low,0.686,1
CR-01319,مشروع آل قصير-بقشان,خالد إبراهيم,Mobile,إضافة ميزة البحث الصوتي في التطبيق,31/07/2025,On Hold,Medium,رقية الشمري,14 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Resources,NO,,Database Server,37,6,2.2,NO,NO,High,Low,0.542,1
CR-01320,مشروع أبا الخيل-حجار,خديجة المطيري,Mobile,إضافة ميزة البحث الصوتي في التطبيق,05/07/2025,Complete,Medium,زينب القرشي,10 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Budget,NO,17/07/2025,Search Engine,29,6,8.8,YES,YES,Medium,Medium,0.167,0
CR-01321,مشروع Daniels-Clark,خالد إبراهيم,Mobile,تحديث نظام المصادقة الثنائية لمزيد من الأمان,23/07/2025,Complete,High,محمد الأحمد,5 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Performance,NO,04/08/2025,Backup System,19,5,5.9,NO,NO,Low,Medium,0.084,0
CR-01322,"مشروع المهنا, مهنا and آل عطفة",مريم خليل,Analytics,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,21/05/2025,Approved,Medium,إبراهيم العتيبي,11 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Resources,NO,06/06/2025,Audit System,27,10,9.2,YES,NO,Medium,Medium,0.336,0
CR-01323,مشروع المغاولة-آل سعود,سارة محمد,Analytics,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,17/03/2025,Open,Medium,خالد إبراهيم,10 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Performance,NO,,Backup System,5,4,6.3,YES,NO,High,Medium,0.0,0
CR-01324,مشروع Douglas PLC,عمر حسان,API,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,24/04/2025,Complete,Medium,أحمد السعودي,7 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Performance,NO,02/05/2025,Notification Service,45,8,1.3,NO,YES,Medium,Medium,0.54,0
